Replicate,TFIDF_Hit1Macro,TFIDF_MRRMacro,MPNET_Hit1Macro,MPNET_MRRMacro
1,0.1112853473702822,0.21925873598486895,0.13682728221246793,0.2222272284852656
2,0.021324972971627946,0.15179479034576956,0.008574103106387997,0.1465153381251414
3,0.15126454716729804,0.24748494395199433,0.13839116705031348,0.22797575855897245
4,0.010573476062655124,0.17247590440361515,0.007758001100119714,0.1650756537495399
5,0.08642340384753945,0.1916896483073552,0.06965160653634135,0.20379609662282902
6,0.13036727767854475,0.25135936686620847,0.18291838905146962,0.310265469925383
7,0.04707021036217122,0.1366432402794507,0.046609967278260424,0.14668906863562978
8,0.007046503110698085,0.1294590266539915,0.016881221449834973,0.12289224546079072
9,0.010890760935731965,0.14838609016832888,0.0031566137835037284,0.16423694597411742
10,0.04985690983407091,0.18955925676278676,0.09880893028944039,0.23697963974977165
11,0.004302755470678522,0.10699889445710999,0.0,0.09822033839098046
12,0.023105813684435376,0.16047042482381288,0.002393782632419799,0.13454431656354263
13,0.07377828145832455,0.18109405619296126,0.05901058991558913,0.15746226758210394
14,0.009036253640216095,0.11250657346443046,0.009482601153862558,0.10226615579498656
15,0.05841279147459493,0.19061513599409705,0.0633237382691695,0.1966355107772125
16,0.03826810840986452,0.196211840520546,0.03141721168584999,0.25416633928076365
17,0.03312047751623079,0.20639769737580643,0.06137428135629782,0.23228657899274535
18,0.01262907096601625,0.15061380354287515,0.002744455499455453,0.12067827992128978
19,0.004305993398616276,0.1227817020644679,0.0028580811867045786,0.11623998638888568
20,0.030355991593699304,0.16026861338882098,0.0196605033850125,0.14669059378793126
21,0.027541361143950994,0.14260654430970215,0.014784633666544648,0.13711225846659614
22,0.006718840928137101,0.11967645495493558,0.016076038914241367,0.1439865466725466
23,0.05550476237757146,0.16620267443122222,0.04917069865206037,0.14478438065768873
24,0.00809007076456209,0.1449504827781008,0.01730678153296464,0.15134440992145318
25,0.04450782180445912,0.17235132229315064,0.057866891015227254,0.1776803328078603
26,0.037475523111839285,0.16882237789970558,0.006475331553776964,0.14451853801662726
27,0.008655254397941799,0.12626248306233312,0.0020881923988920643,0.13042952122403353
28,0.006640386621800926,0.11148622919286856,0.00021312872975277067,0.09773025617293982
29,0.08747497049740535,0.2440192777499808,0.02533712355861234,0.20665236717584384
30,0.010499396240716313,0.14015399933509037,0.006361368475398252,0.14570486864532498
31,0.015805786386351724,0.13989221658190668,0.010019708873995501,0.11886120560926643
32,0.07084244457668243,0.20481150381296068,0.08262996532484165,0.2396782402260762
33,0.02302265408706479,0.1521235296908675,0.0024234587846638555,0.1302219997268865
34,0.014225528210643936,0.1306953044738251,0.008537447809543963,0.09948395816155918
35,0.058519012920607044,0.17380395367842114,0.007708325247528666,0.12928103396107526
36,0.023885267191018713,0.1339700134252437,0.0023670755228244987,0.1255268866626025
37,0.07829553117226602,0.2033707552937381,0.06263456021682211,0.18112835000885508
38,0.07766797332802318,0.22034109643582525,0.1251632645847884,0.23747890402243313
39,0.16836370574348847,0.25703617341384605,0.14491489210459063,0.25910280089088206
40,0.04563227199717883,0.19829215855087973,0.013627853927047219,0.18340196750462454
41,0.008558471851073857,0.14196360381088366,0.058001586078469836,0.1937102674809083
42,0.013109392391208993,0.1331643819961495,0.006266492910892693,0.13749586254979482
43,0.06603204850925677,0.20694519998177907,0.05082765499753949,0.21375506646682302
44,0.0325761680595967,0.1636612521840364,0.0035240422878286444,0.1299170763216038
45,0.029893847682900536,0.18887720797580995,0.009429090214244462,0.1806432788883018
46,0.006019763919998565,0.11009880192196286,0.006325642905613821,0.11025687656260695
47,0.014606114729079132,0.1366293623900415,0.012922822813523685,0.14813153555454736
48,0.004840539882203883,0.11428949850709073,0.0024004530758960905,0.09438681390044586
49,0.012706681322738857,0.1122443355489923,0.006611140366540883,0.10854546648264375
50,0.12716127012346765,0.27991279055130464,0.1024888980732555,0.26316257963234635
51,0.04094704366226593,0.20848586371005223,0.014073160170290765,0.16800036786066402
52,0.02914036235766248,0.17527346573392844,0.018081957425216153,0.1460068035866984
53,0.06686859657626427,0.1863481867226964,0.07287770809462744,0.18878132935430017
54,0.011368378277413157,0.14977920348304302,0.03845025416035932,0.14712447351786723
55,0.09276800885854575,0.19876418717998107,0.05882418265998616,0.16771283810446805
56,0.007724031867231985,0.11166055098024402,0.006165937682348594,0.10942121181195415
57,0.025550144579439493,0.17129544533316352,0.022215249829610366,0.18939836737891141
58,0.06986992265149715,0.20957664883254146,0.01577290894106982,0.16316355749641948
59,0.03974917897628564,0.17962899864763404,0.016823985714779548,0.16358823429425282
60,0.0575786286068997,0.24153113019049885,0.053040374396060144,0.2097507986592276
61,0.018474225275001394,0.1735982861013554,0.054565365165243976,0.22456318748634882
62,0.07735218427737128,0.2279079974444956,0.07444421452739532,0.24405934553597727
63,0.05440221667687308,0.15568566749578966,0.05007920692842835,0.15210618202872264
64,0.11075638928309088,0.20139386815784377,0.13137997604503396,0.2282423999495931
65,0.061841903726236415,0.20139963495556576,0.05601873939351517,0.2134701978501026
66,0.10653666427971274,0.2384595992957818,0.07833227825671864,0.20876910210240066
67,0.01158594189747488,0.1424293093431302,0.00830162373521498,0.12854290021495077
68,0.006322551895167524,0.12583874718640845,0.010202388095549672,0.13149824478228908
69,0.07028281978364045,0.19876929384584888,0.05440050597777135,0.19403602898257216
70,0.07808761673745226,0.1745485781180169,0.07060798212713561,0.17024418624734708
71,0.011861995390614838,0.11577796836106254,0.016369517521564084,0.13912207969424698
72,0.013305794679787843,0.16584151844661713,0.007924366065335588,0.13729844048493367
73,0.057642053083124985,0.15377831481458185,0.055455249635153664,0.16758486682927187
74,0.024588938435391273,0.17447514618653356,0.005248785387258825,0.1621600070925863
75,0.02838813394703862,0.19458290761000793,0.017999064234802253,0.18833266761866466
