Method,Metric,ObservedAnchor,Replicates,Mean,Median,SD,P025,P975,Min,Max,MedianMinusAnchor,MeanMinusAnchor
TFIDF,Hit1,0.5587447835273328,2000,0.5588571666869938,0.5592603301089738,0.01108024394825744,0.5361663923052594,0.5796390054779653,0.5226380479848145,0.597393400478312,0.000515546581640991,0.00011238315966100032
TFIDF,MRR,0.6759566897966709,2000,0.6760366083053271,0.6764547369714462,0.009005997421802856,0.6570537455505255,0.6920819043632214,0.6436099143247253,0.7017125053336918,0.0004980471747753068,7.991850865618488e-05
MPNET,Hit1,0.6331853250339536,2000,0.6333309617032539,0.6341756479795048,0.011820578358283148,0.6095286041176636,0.6553653206662207,0.5934016086831414,0.6736631211598899,0.0009903229455511253,0.0001456366693002309
MPNET,MRR,0.7228516593134541,2000,0.7229455359457218,0.7237507557430651,0.009004068329303058,0.7041258301364873,0.739326269358478,0.6908178273035778,0.7509023465273325,0.0008990964296110571,9.38766322676754e-05
