Model,Runs,Rows,MeanTraceAnnotationRate,MedianTraceAnnotationRate,MeanValidReferenceRate,MedianValidReferenceRate,MeanCompleteExplicitTraceRate,MedianCompleteExplicitTraceRate,MeanActionTextCompletenessAmongAnnotated,MedianActionTextCompletenessAmongAnnotated,MeanUCCoverage,MedianUCCoverage,InvalidReferenceRows,OffScaffoldRows,ExactDuplicateExcessRows,ZeroAnnotationRuns,ZeroValidReferenceRuns,ZeroCompleteTraceRuns,ZeroPrimarySemanticQueryRuns,PrimarySemanticQueries
ChatGPT-4o,10,275,0.9505456349206349,1.0,0.9475153318903319,0.9848484848484849,0.296969696969697,0.0,0.3,0.0,0.7476190476190476,0.7619047619047619,1,13,0,0,0,7,0,248
ChatGPT-o3,10,432,0.7959183673469388,1.0,0.7872655291624847,0.9836065573770492,0.7872655291624847,0.9836065573770492,1.0,1.0,0.6714285714285715,0.8095238095238095,5,0,0,2,2,2,2,353
Claude3.7,10,734,0.8967271805797076,0.8991596638655461,0.8696580753232551,0.8759337068160598,0.8696580753232551,0.8759337068160598,1.0,1.0,0.7761904761904762,0.7857142857142857,20,8,0,0,0,0,0,635
DeepSeek(R1),10,316,0.6247499999999999,0.8104166666666667,0.621625,0.8,0.5549583333333333,0.7947916666666667,0.8571428571428571,1.0,0.4619047619047619,0.7142857142857143,1,1,0,3,3,4,3,182
Gemini-2.5-Pro-Preview-05-06,10,477,0.6363223750686218,0.7416666666666667,0.6363223750686218,0.7416666666666667,0.6363223750686218,0.7416666666666667,1.0,1.0,0.5047619047619047,0.5714285714285714,0,0,0,2,2,2,2,310
Grok3,10,294,0.2,0.0,0.2,0.0,0.2,0.0,1.0,1.0,0.11904761904761904,0.0,0,0,0,8,8,8,8,58
Llama4,10,268,0.8893789656779519,0.9045112781954887,0.8701408704398567,0.8571428571428571,0.0,0.0,0.0,0.0,0.7333333333333333,0.7142857142857143,5,4,16,0,0,10,0,214
Mistral,10,204,0.8371917937135327,0.9444444444444444,0.8371917937135327,0.9444444444444444,0.0,0.0,0.0,0.0,0.6428571428571428,0.6904761904761905,0,0,0,1,1,10,1,171
Qwen3,10,373,0.49714285714285716,0.4857142857142857,0.4936945812807882,0.4827586206896552,0.3936945812807882,0.0,0.8,1.0,0.4,0.38095238095238093,2,0,0,5,5,6,5,198
